,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
174,OBJECT_ANALOG_INPUT_3001367,NAE02/FC-1.NAE2-T1-FEC54.RA-CO2B
175,OBJECT_ANALOG_INPUT_3001368,NAE02/FC-1.NAE2-T1-FEC54.RA-CO2C
176,OBJECT_ANALOG_INPUT_3001369,NAE02/FC-1.NAE2-T1-FEC54.RA-CO2D
177,OBJECT_ANALOG_INPUT_3001370,NAE02/FC-1.NAE2-T1-FEC54.RA-CO2E
178,OBJECT_ANALOG_INPUT_3001372,NAE02/FC-1.NAE2-T1-FEC54.SA-T
179,OBJECT_ANALOG_INPUT_3001375,NAE02/FC-1.NAE2-T1-FEC54.ZN1-T
180,OBJECT_ANALOG_INPUT_3001377,NAE02/FC-1.NAE2-T1-FEC54.ZN2-T
181,OBJECT_ANALOG_INPUT_3001379,NAE02/FC-1.NAE2-T1-FEC54.ZN3-T
182,OBJECT_ANALOG_INPUT_3001381,NAE02/FC-1.NAE2-T1-FEC54.ZN4-T
183,OBJECT_ANALOG_INPUT_3001388,NAE02/FC-1.NAE2-T1-FEC54.OA-F
184,OBJECT_ANALOG_INPUT_3001403,NAE02/FC-1.NAE02-T1-VMA55.DA-VP
185,OBJECT_ANALOG_INPUT_3001411,NAE02/FC-1.NAE02-T1-VMA68.DA-VP
186,OBJECT_ANALOG_INPUT_3001419,NAE02/FC-1.NAE02-T1-VMA69.DA-VP
187,OBJECT_ANALOG_INPUT_3001427,NAE02/FC-2.NAE02-T2-VMA4.DA-VP
188,OBJECT_ANALOG_INPUT_3001435,NAE02/FC-2.NAE02-T2-VMA29.DA-VP
189,OBJECT_ANALOG_INPUT_3001443,NAE02/FC-2.NAE02-T2-VMA42.DA-VP
190,OBJECT_ANALOG_INPUT_3001489,NAE02/FC-1.CU-14.OA-F
191,OBJECT_ANALOG_INPUT_3001493,NAE02/FC-1.CU-14.RA-CO2E
192,OBJECT_ANALOG_INPUT_3001494,NAE02/FC-1.CU-14.RA-CO2D
