,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
169,OBJECT_ANALOG_OUTPUT_3000186,NAE08/FC-1.NAE8-T1-FEC78.ZN2-DAD-%
170,OBJECT_ANALOG_OUTPUT_3000187,NAE08/FC-1.NAE8-T1-FEC78.SUPHTG1-%
171,OBJECT_ANALOG_OUTPUT_3000189,NAE08/FC-1.NAE8-T1-FEC78.DAD1-O
172,OBJECT_ANALOG_OUTPUT_3000202,NAE08/FC-1.NAE8-T1-FEC79.SUPHTG2-%
173,OBJECT_ANALOG_OUTPUT_3000203,NAE08/FC-1.NAE8-T1-FEC79.ZN2-DAD-%
174,OBJECT_ANALOG_OUTPUT_3000204,NAE08/FC-1.NAE8-T1-FEC79.SUPHTG1-%
175,OBJECT_ANALOG_OUTPUT_3000206,NAE08/FC-1.NAE8-T1-FEC79.DAD1-O
176,OBJECT_ANALOG_OUTPUT_3000219,NAE08/FC-1.NAE8-T1-FEC80.SUPHTG2-%
177,OBJECT_ANALOG_OUTPUT_3000220,NAE08/FC-1.NAE8-T1-FEC80.ZN2-DAD-%
178,OBJECT_ANALOG_OUTPUT_3000221,NAE08/FC-1.NAE8-T1-FEC80.SUPHTG1-%
179,OBJECT_ANALOG_OUTPUT_3000223,NAE08/FC-1.NAE8-T1-FEC80.DAD1-O
180,OBJECT_ANALOG_OUTPUT_3000241,NAE08/FC-1.NAE8-T1-FEC81.SF-O
181,OBJECT_ANALOG_OUTPUT_3000247,NAE08/FC-1.NAE8-T1-FEC81.OAD-%
182,OBJECT_ANALOG_OUTPUT_3000257,NAE08/FC-1.NAE8-T1-FEC81.CLG-O
183,OBJECT_ANALOG_OUTPUT_3000274,NAE08/FC-1.NAE8-T1-FEC58.SF-O
184,OBJECT_ANALOG_OUTPUT_3000280,NAE08/FC-1.NAE8-T1-FEC58.OAD-%
185,OBJECT_ANALOG_OUTPUT_3000290,NAE08/FC-1.NAE8-T1-FEC58.CLG-O
186,OBJECT_ANALOG_OUTPUT_3000302,NAE08/FC-1.NAE8-T1-FEC59.SUPHTG2-%
187,OBJECT_ANALOG_OUTPUT_3000303,NAE08/FC-1.NAE8-T1-FEC59.ZN2-DAD-%
188,OBJECT_ANALOG_OUTPUT_3000304,NAE08/FC-1.NAE8-T1-FEC59.SUPHTG1-%
189,OBJECT_ANALOG_OUTPUT_3000306,NAE08/FC-1.NAE8-T1-FEC59.DAD1-O
190,OBJECT_ANALOG_OUTPUT_3000319,NAE08/FC-1.NAE8-T1-FEC60.SUPHTG2-%
191,OBJECT_ANALOG_OUTPUT_3000320,NAE08/FC-1.NAE8-T1-FEC60.ZN2-DAD-%
192,OBJECT_ANALOG_OUTPUT_3000321,NAE08/FC-1.NAE8-T1-FEC60.SUPHTG1-%
193,OBJECT_ANALOG_OUTPUT_3000323,NAE08/FC-1.NAE8-T1-FEC60.DAD1-O
194,OBJECT_ANALOG_OUTPUT_3000336,NAE08/FC-1.NAE8-T1-FEC61.SUPHTG2-%
195,OBJECT_ANALOG_OUTPUT_3000337,NAE08/FC-1.NAE8-T1-FEC61.ZN2-DAD-%
196,OBJECT_ANALOG_OUTPUT_3000338,NAE08/FC-1.NAE8-T1-FEC61.SUPHTG1-%
197,OBJECT_ANALOG_OUTPUT_3000340,NAE08/FC-1.NAE8-T1-FEC61.DAD1-O
198,OBJECT_ANALOG_OUTPUT_3000353,NAE08/FC-1.NAE8-T1-FEC62.SUPHTG2-%
199,OBJECT_ANALOG_OUTPUT_3000354,NAE08/FC-1.NAE8-T1-FEC62.ZN2-DAD-%
200,OBJECT_ANALOG_OUTPUT_3000355,NAE08/FC-1.NAE8-T1-FEC62.SUPHTG1-%
201,OBJECT_ANALOG_OUTPUT_3000357,NAE08/FC-1.NAE8-T1-FEC62.DAD1-O
202,OBJECT_ANALOG_OUTPUT_3000370,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG2-%
203,OBJECT_ANALOG_OUTPUT_3000371,NAE08/FC-1.NAE8-T1-FEC63.ZN2-DAD-%
204,OBJECT_ANALOG_OUTPUT_3000372,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG1-%
205,OBJECT_ANALOG_OUTPUT_3000374,NAE08/FC-1.NAE8-T1-FEC63.DAD1-O
206,OBJECT_ANALOG_OUTPUT_3000387,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG2-%
207,OBJECT_ANALOG_OUTPUT_3000388,NAE08/FC-1.NAE8-T1-FEC64.ZN2-DAD-%
208,OBJECT_ANALOG_OUTPUT_3000389,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG1-%
209,OBJECT_ANALOG_OUTPUT_3000391,NAE08/FC-1.NAE8-T1-FEC64.DAD1-O
210,OBJECT_ANALOG_OUTPUT_3000404,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG2-%
211,OBJECT_ANALOG_OUTPUT_3000405,NAE08/FC-1.NAE8-T1-FEC65.ZN2-DAD-%
212,OBJECT_ANALOG_OUTPUT_3000406,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG1-%
213,OBJECT_ANALOG_OUTPUT_3000408,NAE08/FC-1.NAE8-T1-FEC65.DAD1-O
214,OBJECT_ANALOG_OUTPUT_3000421,NAE08/FC-1.NAE8-T1-FEC66.SUPHTG2-%
215,OBJECT_ANALOG_OUTPUT_3000422,NAE08/FC-1.NAE8-T1-FEC66.ZN2-DAD-%
216,OBJECT_ANALOG_OUTPUT_3000423,NAE08/FC-1.NAE8-T1-FEC66.SUPHTG1-%
217,OBJECT_ANALOG_OUTPUT_3000425,NAE08/FC-1.NAE8-T1-FEC66.DAD1-O
218,OBJECT_ANALOG_OUTPUT_3000438,NAE08/FC-1.NAE8-T1-FEC67.SUPHTG2-%
219,OBJECT_ANALOG_OUTPUT_3000439,NAE08/FC-1.NAE8-T1-FEC67.ZN2-DAD-%
220,OBJECT_ANALOG_OUTPUT_3000440,NAE08/FC-1.NAE8-T1-FEC67.SUPHTG1-%
221,OBJECT_ANALOG_OUTPUT_3000442,NAE08/FC-1.NAE8-T1-FEC67.DAD1-O
222,OBJECT_ANALOG_OUTPUT_3000455,NAE08/FC-1.NAE8-T1-FEC68.SUPHTG2-%
223,OBJECT_ANALOG_OUTPUT_3000456,NAE08/FC-1.NAE8-T1-FEC68.ZN2-DAD-%
224,OBJECT_ANALOG_OUTPUT_3000457,NAE08/FC-1.NAE8-T1-FEC68.SUPHTG1-%
225,OBJECT_ANALOG_OUTPUT_3000459,NAE08/FC-1.NAE8-T1-FEC68.DAD1-O
226,OBJECT_ANALOG_OUTPUT_3000472,NAE08/FC-1.NAE8-T1-FEC69.SUPHTG2-%
227,OBJECT_ANALOG_OUTPUT_3000473,NAE08/FC-1.NAE8-T1-FEC69.ZN2-DAD-%
228,OBJECT_ANALOG_OUTPUT_3000474,NAE08/FC-1.NAE8-T1-FEC69.SUPHTG1-%
229,OBJECT_ANALOG_OUTPUT_3000476,NAE08/FC-1.NAE8-T1-FEC69.DAD1-O
230,OBJECT_ANALOG_OUTPUT_3000494,NAE08/FC-1.NAE8-T1-FEC45.SF-O
231,OBJECT_ANALOG_OUTPUT_3000500,NAE08/FC-1.NAE8-T1-FEC45.OAD-%
232,OBJECT_ANALOG_OUTPUT_3000510,NAE08/FC-1.NAE8-T1-FEC45.CLG-O
233,OBJECT_ANALOG_OUTPUT_3000522,NAE08/FC-1.NAE8-T1-FEC46.SUPHTG2-%
234,OBJECT_ANALOG_OUTPUT_3000523,NAE08/FC-1.NAE8-T1-FEC46.ZN2-DAD-%
235,OBJECT_ANALOG_OUTPUT_3000524,NAE08/FC-1.NAE8-T1-FEC46.SUPHTG1-%
