PROP_OBJECT_IDENTIFIER,PROP_OBJECT_NAME,PROP_DESCRIPTION
OBJECT_ANALOG_INPUT_3001754,NAE08/FC-1.7-UP-92.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3002154,NAE08/FC-1.NAE8-T1-FEC66.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3002175,NAE08/FC-1.8-UP-100.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3002176,NAE08/FC-1.8-UP-100.ZN2-T,Zone 2 Temperature
OBJECT_ANALOG_INPUT_3002465,NAE08/FC-1.9-UP-88.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3002526,NAE08/FC-1.8-UP-101.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3002560,NAE08/FC-1.7-UP-91.ZNA-CO2,Zone A CO2
OBJECT_ANALOG_INPUT_3002586,NAE08/FC-1.NAE8-T1-FEC64.ZN3-T,Zone 3 Temperature
OBJECT_ANALOG_INPUT_3002617,NAE08/FC-1.7-UP-93.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_INPUT_3003417,NAE08/FC-1.9-UP-89.DA-VP,Discharge Air Velocity Pressure
OBJECT_ANALOG_INPUT_3003418,NAE08/FC-1.9-UP-89.ZN-T,Zone Temperature
OBJECT_ANALOG_INPUT_3003804,NAE08/FC-1.8-UP-102.ZN1-T,Zone 1 Temperature
OBJECT_ANALOG_OUTPUT_3000049,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000050,NAE08/FC-1.NAE08-T1-FEC70.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000051,NAE08/FC-1.NAE08-T1-FEC70.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000053,NAE08/FC-1.NAE08-T1-FEC70.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000066,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000067,NAE08/FC-1.NAE8-T1-FEC71.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000068,NAE08/FC-1.NAE8-T1-FEC71.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000070,NAE08/FC-1.NAE8-T1-FEC71.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000083,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000084,NAE08/FC-1.NAE8-T1-FEC72.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000085,NAE08/FC-1.NAE8-T1-FEC72.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000087,NAE08/FC-1.NAE8-T1-FEC72.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000100,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000101,NAE08/FC-1.NAE8-T1-FEC73.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000102,NAE08/FC-1.NAE8-T1-FEC73.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000104,NAE08/FC-1.NAE8-T1-FEC73.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000117,NAE08/FC-1.NAE8-T1-FEC74.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000118,NAE08/FC-1.NAE8-T1-FEC74.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000119,NAE08/FC-1.NAE8-T1-FEC74.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000121,NAE08/FC-1.NAE8-T1-FEC74.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000134,NAE08/FC-1.NAE8-T1-FEC75.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000135,NAE08/FC-1.NAE8-T1-FEC75.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000136,NAE08/FC-1.NAE8-T1-FEC75.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000138,NAE08/FC-1.NAE8-T1-FEC75.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000151,NAE08/FC-1.NAE8-T1-FEC76.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000152,NAE08/FC-1.NAE8-T1-FEC76.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000153,NAE08/FC-1.NAE8-T1-FEC76.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000155,NAE08/FC-1.NAE8-T1-FEC76.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000168,NAE08/FC-1.NAE8-T1-FEC77.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000169,NAE08/FC-1.NAE8-T1-FEC77.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000170,NAE08/FC-1.NAE8-T1-FEC77.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000172,NAE08/FC-1.NAE8-T1-FEC77.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000185,NAE08/FC-1.NAE8-T1-FEC78.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000186,NAE08/FC-1.NAE8-T1-FEC78.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000187,NAE08/FC-1.NAE8-T1-FEC78.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000189,NAE08/FC-1.NAE8-T1-FEC78.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000202,NAE08/FC-1.NAE8-T1-FEC79.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000203,NAE08/FC-1.NAE8-T1-FEC79.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000204,NAE08/FC-1.NAE8-T1-FEC79.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000206,NAE08/FC-1.NAE8-T1-FEC79.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000219,NAE08/FC-1.NAE8-T1-FEC80.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000220,NAE08/FC-1.NAE8-T1-FEC80.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000221,NAE08/FC-1.NAE8-T1-FEC80.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000223,NAE08/FC-1.NAE8-T1-FEC80.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000241,NAE08/FC-1.NAE8-T1-FEC81.SF-O,Supply Fan Output
OBJECT_ANALOG_OUTPUT_3000247,NAE08/FC-1.NAE8-T1-FEC81.OAD-%,Outdoor Air Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000257,NAE08/FC-1.NAE8-T1-FEC81.CLG-O,Cooling Output
OBJECT_ANALOG_OUTPUT_3000274,NAE08/FC-1.NAE8-T1-FEC58.SF-O,Supply Fan Output
OBJECT_ANALOG_OUTPUT_3000280,NAE08/FC-1.NAE8-T1-FEC58.OAD-%,Outdoor Air Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000290,NAE08/FC-1.NAE8-T1-FEC58.CLG-O,Cooling Output
OBJECT_ANALOG_OUTPUT_3000302,NAE08/FC-1.NAE8-T1-FEC59.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000303,NAE08/FC-1.NAE8-T1-FEC59.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000304,NAE08/FC-1.NAE8-T1-FEC59.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000306,NAE08/FC-1.NAE8-T1-FEC59.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000319,NAE08/FC-1.NAE8-T1-FEC60.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000320,NAE08/FC-1.NAE8-T1-FEC60.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000321,NAE08/FC-1.NAE8-T1-FEC60.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000323,NAE08/FC-1.NAE8-T1-FEC60.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000336,NAE08/FC-1.NAE8-T1-FEC61.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000337,NAE08/FC-1.NAE8-T1-FEC61.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000338,NAE08/FC-1.NAE8-T1-FEC61.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000340,NAE08/FC-1.NAE8-T1-FEC61.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000353,NAE08/FC-1.NAE8-T1-FEC62.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000354,NAE08/FC-1.NAE8-T1-FEC62.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000355,NAE08/FC-1.NAE8-T1-FEC62.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000357,NAE08/FC-1.NAE8-T1-FEC62.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000370,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000371,NAE08/FC-1.NAE8-T1-FEC63.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000372,NAE08/FC-1.NAE8-T1-FEC63.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000374,NAE08/FC-1.NAE8-T1-FEC63.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000387,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000388,NAE08/FC-1.NAE8-T1-FEC64.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000389,NAE08/FC-1.NAE8-T1-FEC64.SUPHTG1-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000391,NAE08/FC-1.NAE8-T1-FEC64.DAD1-O,Discharge Air Damper Output
OBJECT_ANALOG_OUTPUT_3000404,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG2-%,Heating Output
OBJECT_ANALOG_OUTPUT_3000405,NAE08/FC-1.NAE8-T1-FEC65.ZN2-DAD-%,Damper Effective Command
OBJECT_ANALOG_OUTPUT_3000406,NAE08/FC-1.NAE8-T1-FEC65.SUPHTG1-%,Heating Output
