,PROP_OBJECT_NAME,BACNET_APPLICATION_TAG_CHARACTER_STRING
256,OBJECT_ANALOG_INPUT_3005591,NAE03/FC-2.26-UP-62.ZN2-Q
257,OBJECT_ANALOG_INPUT_3005779,NAE03/FC-2.26-FCU-51.ZN-T
258,OBJECT_ANALOG_INPUT_3005815,NAE03/FC-2.26-FCU-64.ZN-T
259,OBJECT_ANALOG_OUTPUT_3000013,NAE03/FC-2.NAE3-T2-FEC17.SUPHTG2-%
260,OBJECT_ANALOG_OUTPUT_3000014,NAE03/FC-2.NAE3-T2-FEC17.ZN2-DAD-%
261,OBJECT_ANALOG_OUTPUT_3000015,NAE03/FC-2.NAE3-T2-FEC17.SUPHTG1-%
262,OBJECT_ANALOG_OUTPUT_3000017,NAE03/FC-2.NAE3-T2-FEC17.DAD1-O
263,OBJECT_ANALOG_OUTPUT_3000031,NAE03/FC-2.NAE3-T2-FEC18.SUPHTG2-%
264,OBJECT_ANALOG_OUTPUT_3000032,NAE03/FC-2.NAE3-T2-FEC18.ZN2-DAD-%
265,OBJECT_ANALOG_OUTPUT_3000033,NAE03/FC-2.NAE3-T2-FEC18.SUPHTG1-%
266,OBJECT_ANALOG_OUTPUT_3000035,NAE03/FC-2.NAE3-T2-FEC18.DAD1-O
